"대전광역시","합계",257934,131826,126108
"대전광역시","20세 미만",4059,2134,1925
"대전광역시","20~24",32554,15655,16899
"대전광역시","25~29",39698,22430,17268
"대전광역시","30~34",28467,17936,10531
"대전광역시","35~39",16461,10742,5719
"대전광역시","40~44",15074,9445,5629
"대전광역시","45~49",13971,8632,5339
"대전광역시","50~54",17164,10062,7102
"대전광역시","55~59",16699,8853,7846
"대전광역시","60~64",19677,9062,10615
"대전광역시","65~69",17420,7073,10347
"대전광역시","70~74",12132,4085,8047
"대전광역시","75~79",9657,2586,7071
"대전광역시","80~84",8432,1829,6603
"대전광역시","85세 이상",6469,1302,5167
"울산광역시","합계",141595,78502,63093
"울산광역시","20세 미만",342,175,167
"울산광역시","20~24",5054,2811,2243
"울산광역시","25~29",14148,9265,4883
"울산광역시","30~34",13944,9940,4004
"울산광역시","35~39",9404,6975,2429
"울산광역시","40~44",10721,7706,3015
"울산광역시","45~49",10358,7025,3333
"울산광역시","50~54",12802,8105,4697
"울산광역시","55~59",12923,7364,5559
"울산광역시","60~64",14912,7249,7663
"울산광역시","65~69",13187,5435,7752
"울산광역시","70~74",8952,3096,5856
"울산광역시","75~79",6444,1734,4710
"울산광역시","80~84",5150,1054,4096
"울산광역시","85세 이상",3254,568,2686
"세종특별자치시","합계",51655,26690,24965
"세종특별자치시","20세 미만",753,364,389
"세종특별자치시","20~24",6211,2931,3280
"세종특별자치시","25~29",7768,4142,3626
"세종특별자치시","30~34",7596,4536,3060
"세종특별자치시","35~39",4606,2966,1640
"세종특별자치시","40~44",4043,2444,1599
"세종특별자치시","45~49",3402,1930,1472
"세종특별자치시","50~54",3549,1947,1602
"세종특별자치시","55~59",3029,1563,1466
"세종특별자치시","60~64",3007,1445,1562
"세종특별자치시","65~69",2594,1047,1547
"세종특별자치시","70~74",1704,576,1128
"세종특별자치시","75~79",1271,345,926
"세종특별자치시","80~84",1167,247,920
"세종특별자치시","85세 이상",955,207,748
"경기도","합계",1714629,926041,788588
"경기도","20세 미만",6341,2942,3399
"경기도","20~24",74070,34459,39611
"경기도","25~29",193786,112177,81609
"경기도","30~34",202773,133870,68903
"경기도","35~39",135039,92024,43015
"경기도","40~44",133400,88911,44489
"경기도","45~49",122051,78748,43303
"경기도","50~54",144030,89007,55023
"경기도","55~59",139536,80052,59484
"경기도","60~64",157321,78876,78445
"경기도","65~69",135889,58540,77349
"경기도","70~74",90361,32324,58037
"경기도","75~79",74470,20868,53602
"경기도","80~84",61177,13974,47203
"경기도","85세 이상",44385,9269,35116
"강원특별자치도","합계",271097,136553,134544
"강원특별자치도","20세 미만",1525,835,690
"강원특별자치도","20~24",19720,10939,8781
"강원특별자치도","25~29",23309,14066,9243
"강원특별자치도","30~34",18656,12014,6642
"강원특별자치도","35~39",12327,8061,4266
"강원특별자치도","40~44",13584,8660,4924
"강원특별자치도","45~49",14898,9247,5651
"강원특별자치도","50~54",20761,12483,8278
"강원특별자치도","55~59",24231,13730,10501
"강원특별자치도","60~64",30485,16170,14315
"강원특별자치도","65~69",27684,13075,14609
"강원특별자치도","70~74",18509,6936,11573
"강원특별자치도","75~79",16778,4666,12112
"강원특별자치도","80~84",16175,3368,12807
"강원특별자치도","85세 이상",12455,2303,10152
"충청북도","합계",277373,146383,130990
"충청북도","20세 미만",2025,1051,974
"충청북도","20~24",20842,10604,10238
"충청북도","25~29",30551,18919,11632
"충청북도","30~34",25777,17922,7855
"충청북도","35~39",16041,11127,4914
"충청북도","40~44",15982,10747,5235
"충청북도","45~49",15964,10234,5730
"충청북도","50~54",20571,12557,8014
"충청북도","55~59",23250,13144,10106
"충청북도","60~64",27235,14116,13119
"충청북도","65~69",23609,10837,12772
"충청북도","70~74",16186,6046,10140
"충청북도","75~79",13777,3836,9941
"충청북도","80~84",14038,2957,11081
"충청북도","85세 이상",11525,2286,9239
"충청남도","합계",354747,189517,165230
"충청남도","20세 미만",2791,1314,1477
"충청남도","20~24",25089,11682,13407
"충청남도","25~29",34675,21786,12889
"충청남도","30~34",31551,22180,9371
"충청남도","35~39",22472,16245,6227
"충청남도","40~44",22456,16296,6160
"충청남도","45~49",21392,14450,6942
"충청남도","50~54",26566,17041,9525
"충청남도","55~59",28540,16771,11769
"충청남도","60~64",33641,18132,15509
"충청남도","65~69",28577,13354,15223
"충청남도","70~74",21374,8000,13374
"충청남도","75~79",18381,5022,13359
"충청남도","80~84",19246,3871,15375
"충청남도","85세 이상",17996,3373,14623
"전라북도","합계",296799,143429,153370
"전라북도","20세 미만",2322,1226,1096
"전라북도","20~24",21255,11086,10169
"전라북도","25~29",25028,14329,10699
"전라북도","30~34",20493,13049,7444
"전라북도","35~39",14029,9259,4770
"전라북도","40~44",15261,10334,4927
"전라북도","45~49",16723,10766,5957
"전라북도","50~54",22058,13632,8426
"전라북도","55~59",24466,13969,10497
"전라북도","60~64",29089,14812,14277
"전라북도","65~69",26518,11944,14574
"전라북도","70~74",21563,7636,13927
"전라북도","75~79",19436,4840,14596
"전라북도","80~84",20533,3589,16944
"전라북도","85세 이상",18025,2958,15067
"전라남도","합계",294583,141776,152807
"전라남도","20세 미만",1014,588,426
"전라남도","20~24",10028,5433,4595
"전라남도","25~29",19057,11198,7859
"전라남도","30~34",17266,11461,5805
"전라남도","35~39",12438,8628,3810
"전라남도","40~44",14677,10238,4439
"전라남도","45~49",16226,10908,5318
"전라남도","50~54",22774,14714,8060
"전라남도","55~59",26353,15899,10454
"전라남도","60~64",31447,17138,14309
"전라남도","65~69",27879,13567,14312
"전라남도","70~74",23860,8694,15166
"전라남도","75~79",23205,5668,17537
"전라남도","80~84",26129,4352,21777
"전라남도","85세 이상",22230,3290,18940
"경상북도","합계",444108,221404,222704
"경상북도","20세 미만",3276,1871,1405
"경상북도","20~24",29013,16091,12922
"경상북도","25~29",35224,22202,13022
"경상북도","30~34",30541,21020,9521
"경상북도","35~39",22219,15652,6567
"경상북도","40~44",24030,16444,7586
"경상북도","45~49",25178,16227,8951
"경상북도","50~54",32659,19986,12673
"경상북도","55~59",37401,21299,16102
"경상북도","60~64",45653,23576,22077
"경상북도","65~69",41393,18603,22790
"경상북도","70~74",33762,11795,21967
"경상북도","75~79",27425,6958,20467
"경상북도","80~84",30595,5526,25069
"경상북도","85세 이상",25739,4154,21585
"경상남도","합계",487491,244543,242948
"경상남도","20세 미만",2103,1164,939
"경상남도","20~24",18665,10131,8534
"경상남도","25~29",34706,20616,14090
"경상남도","30~34",34744,23452,11292
"경상남도","35~39",25929,18012,7917
"경상남도","40~44",30772,21514,9258
"경상남도","45~49",31268,20620,10648
"경상남도","50~54",42060,25758,16302
"경상남도","55~59",44639,24882,19757
"경상남도","60~64",54240,27260,26980
"경상남도","65~69",49668,21730,27938
"경상남도","70~74",36200,12870,23330
"경상남도","75~79",29832,7751,22081
"경상남도","80~84",29290,5135,24155
"경상남도","85세 이상",23375,3648,19727
"제주특별자치도","합계",93739,47169,46570
"제주특별자치도","20세 미만",476,254,222
"제주특별자치도","20~24",3689,1605,2084
"제주특별자치도","25~29",8150,4209,3941
"제주특별자치도","30~34",8070,4770,3300
"제주특별자치도","35~39",6012,3658,2354
"제주특별자치도","40~44",7329,4403,2926
"제주특별자치도","45~49",7580,4511,3069
"제주특별자치도","50~54",9939,5740,4199
"제주특별자치도","55~59",9420,5306,4114
"제주특별자치도","60~64",9469,4871,4598
"제주특별자치도","65~69",7754,3491,4263
"제주특별자치도","70~74",4955,1865,3090
"제주특별자치도","75~79",4115,1208,2907
"제주특별자치도","80~84",3451,708,2743
"제주특별자치도","85세 이상",3330,570,2760
