"동부","남자","85세 이상",20541,6670,3289,4193,515,3133,627,2114
"동부","여자","합계",2671072,353379,263478,752016,302489,725198,140984,133528
"동부","여자","20세 미만",33569,-,623,9928,6219,16799,-,-
"동부","여자","20~24",248837,-,1051,35857,49921,156219,5789,-
"동부","여자","25~29",315132,-,1296,40376,62702,184173,26585,-
"동부","여자","30~34",204497,-,1315,28726,41204,108962,24290,-
"동부","여자","35~39",159234,-,2053,38404,34613,64940,19224,-
"동부","여자","40~44",135448,-,2559,44858,27923,43833,16275,-
"동부","여자","45~49",150873,324,4368,69898,23894,37504,14885,-
"동부","여자","50~54",161804,1214,12809,85136,17503,33060,12082,-
"동부","여자","55~59",196760,5952,34132,107669,13759,26665,8583,-
"동부","여자","60~64",245899,18066,60418,130621,10850,19227,6717,-
"동부","여자","65~69",214612,60027,52692,79103,6439,12966,3385,-
"동부","여자","70~74",194691,81405,40094,38744,3537,9214,1735,19962
"동부","여자","75~79",181119,83525,27399,22564,2075,6182,735,38639
"동부","여자","80~84",138252,63499,15481,12705,1155,3617,480,41315
"동부","여자","85세 이상",90345,39367,7188,7427,695,1837,219,33612
"읍부","계","합계",621763,76852,55242,204796,71801,146281,25113,41678
"읍부","계","20세 미만",5825,-,221,2363,736,2505,-,-
"읍부","계","20~24",36941,-,251,7595,6328,21897,870,-
"읍부","계","25~29",53548,-,188,9648,11567,28399,3746,-
"읍부","계","30~34",46687,-,397,9373,10517,22670,3730,-
"읍부","계","35~39",42967,-,521,13319,10598,15837,2692,-
"읍부","계","40~44",40869,-,926,16345,9024,12221,2353,-
"읍부","계","45~49",48917,204,1780,25624,7385,10770,3154,-
"읍부","계","50~54",53380,440,4129,29906,5822,10393,2690,-
"읍부","계","55~59",57796,1790,9082,30718,4497,9222,2487,-
"읍부","계","60~64",58737,4438,13331,30387,2819,5828,1934,-
"읍부","계","65~69",45559,13838,10014,16587,1461,2814,845,-
"읍부","계","70~74",38714,17037,6784,6789,559,1809,350,5386
